Cuestions;Answers;Categories
Leonardo DiCaprio consiguió su primer Óscar con El Renacido .; Renacido ;Cultura
El enemigo más conocido de Batman es el Joker .; Batman ;Cultura
El Mago de Oz vive en la Ciudad Esmeralda .; Esmeralda ;Literatura
A Miguel de Cervantes se le llama El Manco de Lepanto porque perdió la mano en la Batalla de Lepanto .; Lepanto ;Literatura
Las lenguas romances derivan del latín, específicamente del latín vulgar .; vulgar ;Cultura
La Edad Moderna comenzó en 1492 .; 1492 ;Historia
La Edad Contemporánea comenzó en 1789 con la Revolución Francesa .; 1789 ;Historia
El Muro de Berlín cayó en 1989, el 9 de noviembre .; 1989 ;Historia
Valentina Tereshkova fue la primera mujer en ir al espacio .; espacio ;Astronomía
Las siglas OTAN significan Organización del Tratado Atlántico Norte .; OTAN ;Política
Adolfo Suárez González fue el primer presidente del gobierno de la democracia en España .; presidente ;Política
El país más extenso del mundo es Rusia .; Rusia ;Geografía
El país más poblado del mundo es India .; India ;Geografía
Los tequeños son tradicionales de Venezuela .; Venezuela ;Cultura
El principio de Arquímedes establece que todo cuerpo sumergido total o parcialmente en un fluido experimenta un empuje vertical y hacia arriba, igual al peso del fluido desalojado .; Arquímedes ;Física
Kosovo se independizó de Serbia en 2008, pero su independencia no ha sido reconocida por la totalidad de los países .; 2008 ;Cultura
El espacio Schengen es un área conformada por 27 países europeos que han eliminado los controles fronterizos en sus fronteras comunes .; Schengen ;Cultura
El Fantasma de Canterville fue escrito por Oscar Wilde .; Wilde ;Literatura
El Peregrino es una novela de Paulo Coelho .; Coelho ;Literatura
Stanley Kubrick fue el director de la película El Resplandor .; Resplandor ;Cultura
El símbolo del kriptón en la tabla periódica es Kr .; Kr ;Química
El elemento con el símbolo PT es el platino .; platino ;Química
El símbolo de la plata en la tabla periódica es Ag .; Ag ;Química
El Segundo Reich en Alemania comenzó en 1871 .; 1871 ;Historia
La victoria de Prusia sobre Francia en la Guerra Franco-Prusiana fue el acontecimiento histórico que dio paso al Segundo Reich en Alemania .; Prusia ;Historia
La primera Constitución Española data del año 1812 .; 1812 ;Historia
La Constitución Española promulgada el 19 de marzo de 1812 .; marzo  ;Historia
La Constitución de 1812 se firmó durante el reinado de Fernando VII .; Fernando ;Historia
La Primera Guerra Mundial marcó el final de la Segunda Revolución Industrial .; Industrial ;Historia
La Odisea fue escrita por Homero .; Homero ;Cultura
El océano más grande del mundo es el Pacífico .; Pacífico ;Geografía
La Teogonía fue escrita por Hesíodo .; Hesíodo ;Cultura
Caravaca de la Cruz se encuentra en la provincia de Murcia .; Murcia ;Geografía
Francisco Franco Bahamonte murió el 20 de noviembre de 1975 .; 1975 ;Historia
La Regenta fue escrita por Leopoldo Alas, conocido como Clarín .; Leopoldo ;Literatura
La Regenta fue escrita por Leopoldo Alas, conocido como Clarín .; Clarín ;Literatura
El Pacto de París, ratificado por la UE en 2016, versa sobre el cambio climático .; 2016 ;Política
El río más importante históricamente de Alemania es el Rin .; Rin ;Geografía
Las lenguas oficiales de Cataluña son el catalán, el castellano y el aranés .; catalán ;Cultura
El Principito de Antoine de Saint-Exupéry ha sido la obra francesa más leída y traducida hasta hoy .; francesa ;Literatura
La famosa frase Solo sé que no sé nada fue dicha por Sócrates .; Sócrates ;Cultura
Frida Kahlo es la pintora latinoamericana más reconocida del siglo XX .; XX ;Arte
El Proyecto Manhattan culminó con la detonación de dos bombas nucleares sobre las ciudades de Hiroshima y Nagasaki .; Hiroshima ;Historia
El Proyecto Manhattan culminó con la detonación de dos bombas nucleares sobre las ciudades de Hiroshima y Nagasaki .; Nagasaki ;Historia
Harry S . Truman ordenó el lanzamiento de las bombas nucleares sobre Japón .; Truman ;Historia
Las siglas RETA corresponden al Régimen Especial de Trabajadores Autónomos a nivel tributario .; RETA ;política
El Yuan es la moneda oficial de China .; Yuan ;política
Nueva Zelanda fue el primer país en el que las mujeres pudieron votar .; mujeres ;Historia
Pedro Calderón de la Barca es conocido por escribir la frase Que toda la vida es sueño, y los sueños, sueños son .; Calderón ;Literatura
La Guerra de los Cien Años duró 116 años .; 116 ;Historia
Fernando de Magallanes y Juan Sebastián de Elcano fueron los primeros exploradores en dar la vuelta al mundo en 1522 .; 1522 ;Historia
La antigua Indochina se dividió en Camboya, Laos, Vietnam, Birmania y Tailandia .; Indochina ;Geografía
La Unión Soviética (URSS) se disolvió en 1991 .; 1991 ;Política
La Organización de las Naciones Unidas (ONU) se creó en 1945 .; 1945 ;Política
Hitler y Franco coincidieron en Hendaya .; Hendaya ;Política
Mijaíl Gorbachov puso en marcha la Perestroika y la Glasnost en la URSS .; Perestroika ;Política
Nikita Jruschov aporreó la mesa de la ONU con su zapato .; zapato ;Política
Los montes Urales separan Europa de Asia .; Urales ;Geografía
Los Pirineos separan España de Francia .; Pirineos ;Geografía
Fausto fue escrito por Johann Wolfgang von Goethe .; Fausto ;Literatura
El Grito fue pintado por Edvard Munch .; Grito ;Arte
Hobbes escribió sobre el animal mitológico Leviatán .; Leviatán ;Cultura
Los frescos de la Capilla Sixtina fueron pintados por Miguel Ángel .; Sixtina ;Arte
La cantante conocida por éxitos como Respect o I Say a Little Prayer es Aretha Franklin .; Aretha ;Música
El miedo a las alturas se conoce como acrofobia .; acrofobia ;Ciencia
El apéndice se encuentra en el lado derecho del cuerpo humano .; apéndice ;biologia
La tabla periódica cuenta con 118 elementos .; 118 ;Química
El gas que nos protege de la radiación ultravioleta es el ozono .; ozono ;Ciencia
Las auroras boreales son producidas por la termosfera .; termosfera ;Ciencia
La psiquiatría es la disciplina médica que estudia la mente .; mente ;Medicina
El deporte en el que se monta a caballo es la equitación .; equitación ;General
Sherlock Holmes vivía en Baker Street .; Baker ;Literatura
La Torre de Hércules se encuentra en A Coruña, España .; Coruña ;Geografía
Jane Goodall es la mujer primatóloga más reconocida de la historia .; primatóloga ;Ciencia
V de Vendetta fue escrito por Alan Moore, con ilustraciones de David Lloyd; Vendetta ;Literatura
Charles Chaplin interpretó a Hitler en El Gran Dictador .; Chaplin ;Cultura
Marc Márquez fue el campeón del mundo de Moto GP en 2017 .; 2017 ;Historia
Plutón fue descartado del conjunto de planetas del sistema solar .; Plutón ;Astronomía
El animal más veloz del mundo es el guepardo .; guepardo ;Biología
Los peces respiran a través de las branquias .; branquias ;Biología
Los huesos del oído interno se llaman martillo, yunque y estribo .; martillo ;biologia
Los huesos del oído interno se llaman martillo, yunque y estribo .; yunque ;biologia
Los huesos del oído interno se llaman martillo, yunque y estribo .; estribo ;biologia
El agua es el principal compuesto del planeta Tierra .; agua ;Ciencia
Romeo y Julieta fue escrita por William Shakespeare .; Shakespeare ;Literatura
1000 megabytes equivalen a un gigabyte .; gigabyte ;General
Los seres vivos se dividen en animales, vegetales, hongos, protistas y moneras .; animales ;Biología
Los seres vivos se dividen en animales, vegetales, hongos, protistas y moneras .; vegetales ;Biología
Los seres vivos se dividen en animales, vegetales, hongos, protistas y moneras .; hongos ;Biología
Los seres vivos se dividen en animales, vegetales, hongos, protistas y moneras .; protistas ;Biología
Los seres vivos se dividen en animales, vegetales, hongos, protistas y moneras .; moneras ;Biología
El único mamífero volador es el murciélago .; murciélago ;Biología
El río más largo del mundo es el Amazonas .; Amazonas ;Geografía
El Nilo es el río más largo de África .; África ;Geografía
El primer paso sobre la Luna fue en 1969 .; 1969 ;Astronomía
Las tortugas pueden vivir hasta 70 años, pero la más longeva llegó a los 188 .; 70 ;Biología
Isaac Newton promulgó la Ley de la Gravitación Universal .; Gravitación ;Física
La neurona es la célula más importante del sistema nervioso humano .; neurona ;Biología
La Novena Sinfonía fue creada por Ludwig van Beethoven .; Beethoven ;Música
Los tres estados de la materia son líquido, sólido y gaseoso .; líquido ;Ciencia
Los tres estados de la materia son líquido, sólido y gaseoso .; sólido ;Ciencia
Los tres estados de la materia son líquido, sólido y gaseoso .; gaseoso ;Ciencia
El fémur es el hueso más largo del cuerpo humano .; fémur ;biologia
El cobre no es un material aislante, sino conductor .; cobre ;Ciencia
El río Amazonas atraviesa Bolivia, Brasil, Colombia, Ecuador, Perú y Venezuela .; Bolivia ;Geografía
El río Amazonas atraviesa Bolivia, Brasil, Colombia, Ecuador, Perú y Venezuela .; Brasil ;Geografía
El río Amazonas atraviesa Bolivia, Brasil, Colombia, Ecuador, Perú y Venezuela .; Colombia ;Geografía
El río Amazonas atraviesa Bolivia, Brasil, Colombia, Ecuador, Perú y Venezuela .; Ecuador ;Geografía
El río Amazonas atraviesa Bolivia, Brasil, Colombia, Ecuador, Perú y Venezuela .; Perú ;Geografía
El río Amazonas atraviesa Bolivia, Brasil, Colombia, Ecuador, Perú y Venezuela .; Venezuela ;Geografía
El río Amazonas atraviesa Bolivia, Brasil, Colombia, Ecuador, Perú y Venezuela .; Amazonas ;Geografía
La herpetología estudia a los anfibios y reptiles .; anfibios ;Biología
La herpetología estudia a los anfibios y reptiles .; reptiles ;Biología
La herpetología estudia a los anfibios y reptiles .; herpetología ;Biología
Los colores de la bandera de Japón son rojo y blanco .; Japón ;Geografía
Galileo Galilei inventó el telescopio .; telescopio ;Ciencia
El pie de atleta es causado por un hongo .; hongo ;medicina
El Circo Máximo era el recinto donde se desarrollaban las carreras de caballos en la Antigua Roma .; Máximo ;Historia
El idioma oficial de Brasil es el portugués .; portugués ;Geografía
Liguria y Calabria son regiones de Italia .; Italia ;Geografía
Alfred Nobel consiguió su fortuna gracias a la invención de la dinamita .; dinamita ;Historia
La Torre de Belém se encuentra en Portugal .; Portugal ;Geografía
El primer órgano desechado por los antiguos egipcios para momificar a sus faraones fue el cerebro .; cerebro ;biologia
El estómago pertenece al sistema digestivo .; digestivo ;biologia
Las ballenas usan pulmones para respirar .; pulmones ;Biología
La Torre de Pisa fue diseñada por Bonnano Pisano .; Bonnano ;General
Cristóbal Colón desembarcó por primera vez en la isla de Guanahani en el Caribe .; Guanahani ;Historia
Chile declaró su independencia de España en 1818 .; 1818 ;Historia
El elemento con número atómico 8 es el oxígeno .; oxígeno ;Química
Indonesia posee la mayor superficie cubierta de manglares .; manglares ;Geografía
Los Picos de Europa se encuentran entre las provincias de Asturias, León y Cantabria en España .; Asturias ;Geografía
Los Picos de Europa se encuentran entre las provincias de Asturias, León y Cantabria en España .; León ;Geografía
Los Picos de Europa se encuentran entre las provincias de Asturias, León y Cantabria en España .; Cantabria ;Geografía
La capital del Imperio Inca era Cuzco .; Cuzco ;Geografía
El primer órgano que se desarrolla en el cuerpo humano es el corazón .; corazón ;biologia
El zorro vestía de color negro .; negro ;Cultura
El Partenón se encuentra en Atenas .; Atenas ;Geografía
María Elena Walsh era escritora .; escritora ;Arte
El término marciano hace referencia a Marte .; Marte ;Astronomía
El mejor amigo del ser humano es el perro .; perro ;Cultura
La densidad es el cociente de dividir la masa y el volumen .; masa ;Física
La densidad es el cociente de dividir la masa y el volumen .; volumen ;Física
Hubo tres Guerras Médicas .; Médicas ;Historia
El animal nacional de Escocia es el unicornio .; unicornio ;Cultura
Los Andes se sitúan en la zona occidental de América del Sur .; Andes ;Geografía
El Monte Rushmore es la montaña estadounidense en la que aparecen las caras de algunos de sus presidentes .; Rushmore ;Historia
El sonido de los lobos se llama aullido .; aullido ;Biología
Un conjunto grande de peces se llama cardumen .; cardumen ;Biología
Un conjunto grande de perros se llama jauría .; jauría ;Biología
Palermo se encuentra en Sicilia, Italia .; Sicilia ;Geografía
El piano es un instrumento de cuerda percutida .; piano ;Música
La India está bañada por el Océano Índico .; Índico ;Geografía
El Titanic se hundió en 1912 .; 1912 ;Historia
El fenómeno de aumento general de las temperaturas en la Tierra se llama calentamiento global .; calentamiento ;Ciencia
Isaac Peral inventó el primer submarino torpedero a propulsión eléctrica .; torpedero ;Historia
Los celíacos son intolerantes al gluten .; gluten ;medicina
Los celíacos son intolerantes al gluten .; celíacos ;medicina
La antropología estudia al ser humano, sus sociedades, culturas y formas de organización a lo largo del tiempo .; antropología ;General
Pretoria está en Sudáfrica .; Sudáfrica ;Geografía
Nerón incendió Roma .; Roma ;Historia
El corazón tiene cuatro válvulas: tricúspide, pulmonar, mitral y aórtica .; cuatro ;biologia
El monarca inglés vive en el Palacio de Buckingham .; Buckingham ;Geografía
Thomas Alba Edison inventó la bombilla .; bombilla ;Ciencia
El número pi tiene infinitos decimales .; decimales ;Matemáticas
Salvador Dalí nació en 1904 .; 1904 ;Arte
Mercurio es el planeta más cercano al Sol .; Mercurio ;Astronomía
La Sonda Voyager 1 es el producto humano más lejano a la Tierra .; Voyager ;Astronomía
La Edad Media empezó con la caída del Imperio Romano de Occidente en el año 476 d .C .; Romano ;Historia
Una milla equivale a 1,6 kilómetros .; milla ;Matemáticas
Un lustro equivale a 5 años .; lustro ;Matemáticas
La fusión nuclear es el proceso en el que dos átomos con una masa ligera se unen para formar otro más pesado, liberando una inmensa cantidad de energía .; nuclear ;Física
Las plantas se alimentan mediante la fotosíntesis .; fotosíntesis ;Biología
España se llama así debido a que el sustantivo propio España viene del latín Hispania, que significa Tierra de conejos .; conejos ;Geografía
El río más largo de la Península Ibérica es el Tajo .; Tajo ;Geografía
El río más caudaloso en términos de Portugal es el Duero, pero si solo consideramos España, sería el Ebro .; Duero ;Geografía
Los tres dictadores euroasiáticos más importantes del siglo XX fueron Hitler, Mussolini y Stalin .; Hitler ;Historia
Los tres dictadores euroasiáticos más importantes del siglo XX fueron Hitler, Mussolini y Stalin .; Mussolini ;Historia
Los tres dictadores euroasiáticos más importantes del siglo XX fueron Hitler, Mussolini y Stalin .; Stalin ;Historia
El emperador del último Imperio Japonés se llamaba Hirohito .; Hirohito ;Historia
Los cinco sabores reconocidos por la lengua humana son ácido, dulce, salado, amargo y umami .; sabores ;Biología
Los colores primarios son rojo, amarillo y azul .; rojo ;Cultura
Los colores primarios son rojo, amarillo y azul .; amarillo ;Cultura
Los colores primarios son rojo, amarillo y azul .; azul ;Cultura
Los primeros Juegos Olímpicos se llevaron a cabo en Olimpia, Grecia .; Olimpia ;Historia
El capibara es un roedor, siendo el más grande del mundo .; roedor ;Biología
El cuerpo humano tiene 206 huesos .; 206 ;biologia
Gustav Klimt pintó El Beso .; Gustav  ;Arte
El Guernica llegó a España en 1981, con la consolidación de la democracia en el país .; 1981 ;Arte
Un conmutador se utiliza para desviar la corriente eléctrica de un circuito a otro .; conmutador ;General
La primera forma de escritura se denominaba cuneiforme y surgió en la antigua Mesopotamia .; Mesopotamia ;Historia
Neptuno es el tercer planeta más lejano del Sol .; Neptuno ;Astronomía
La temperatura de congelación del metanol es de -97,6 °C .; metanol ;Ciencia
La Catedral de Colonia es de estilo gótico .; gótico ;Cultura
En el Día de San Patricio, debes vestirte de verde .; Patricio ;Cultura
El mandarín y el putonghua son idiomas oficiales de la República Popular China .; mandarín ;Cultura
Una molécula es una agrupación definida y ordenada de átomos que forma la porción más pequeña de una sustancia pura, conservando todas sus propiedades .; molécula ;Física
El dirigible alemán famoso por incendiarse en 1937 se llamaba Hindenburg .; 1937 ;Historia
El dirigible alemán famoso por incendiarse en 1937 se llamaba Hindenburg .; Hindenburg ;Historia
El estado de Sajonia está en Alemania .; Alemania ;Geografía
La ciudad de Casablanca está en Marruecos .; Marruecos ;Geografía
La principal combustible de nuestro cerebro es la glucosa . Este órgano consume aproximadamente un 20% de la energía producida por este nutriente .; glucosa ;Biología
El Tratado de Brest-Litovsk fue año 1918 .; 1918 ;Historia
El Everest está en la zona fronteriza entre Nepal y el Tíbet .; Tíbet ;Geografía
La cordillera donde se encuentra el Everest es la cordillera del Himalaya .; Himalaya ;Geografía
La cordillera del Himalaya está presente en Bután, China, India, Nepal y Pakistán .; Himalaya ;Geografía
La famosa frase Pienso, luego existo es atribuida a Descartes .; Descartes ;Cultura
Fernando Alonso es famoso por ser piloto de Fórmula 1 .; Fórmula ;Cultura
Las sevillanas son famosas en Andalucía .; Andalucía ;Cultura
La Luna brilla porque refleja la luz solar .; solar ;Astronomía
La fiesta más famosa en Estados Unidos es el 4 de julio .; julio ;Cultura
Kandinsky es famoso por ser considerado el padre de la teoría del arte abstracto .; abstracto ;Arte
El gentilicio de Kazajistán es kazajo .; kazajo ;Geografía
La Yakuza es una mafia japonesa dedicada al crimen organizado .; Yakuza ;Politica
El río más largo de Europa es el Volga .; Volga ;Geografía
El segundo río más largo de Europa es el Danubio .; Danubio ;Geografía
Mesopotamia se encontraba entre el Tigris y el Éufrates .; Éufrates ;Geografía
La disputa por el poder de la URSS después de Lenin fue entre Stalin, Trotsky y Nikolái Bujarin .; Nikolái ;Historia
El satélite más pequeño de Saturno se llama Mima, aunque en 2013 se descubrió la formación de un nuevo satélite que se conoce como Peggy .; Mima ;Astronomía
El satélite más grande de Saturno es Titán .; Titán ;Astronomía
El conflicto bélico entre los persas y los antiguos griegos se conoce como las Guerras Médicas .; Médicas ;Historia
Cleopatra era conocida por sus supuestos baños en leche de burra .; Cleopatra ;Cultura
Cien años de soledad fue escrito por Gabriel García Márquez .; Gabriel ;Literatura
Veinte poemas de amor y una canción desesperada fue escrito por Pablo Neruda .; Neruda ;Literatura
Marlon Brando interpretó a Vito Corleone en El Padrino .; Padrino ;Cultura
La selva más grande del mundo es la selva amazónica .; amazónica ;Geografía
Vincent van Gogh pintó La noche estrellada desde el Manicomio de Saint Remy, en Francia .; Francia ;Arte
La parte del ojo que tiene color se llama iris .; iris ;biologia
Transilvania se encuentra en Rumanía .; Rumanía ;Geografía
La canción Yellow Submarine es de los Beatles .; Beatles ;Música
En el Imperio Español, se decía que nunca se ponía el sol .; sol ;Historia
Luis XIV era conocido como el Rey Sol de Francia .; Sol ;Historia
Suecia es el país con más islas en el mundo .; Suecia ;Geografía
El Apolo 11 aterrizó en la Luna el 20 de julio de 1969 .; 1969 ;Astronomía
Los Beatles eran de Liverpool .; Liverpool ;Música
Pablo Picasso es famoso por desarrollar la técnica de pintura cubista .; cubista ;Arte
Júpiter es el planeta con más lunas .; lunas ;Astronomía
Júpiter es el planeta con más lunas .; Júpiter ;Astronomía
Un ser humano adulto tiene 32 dientes .; dientes ;biologia
Omnívoro significa que un animal se alimenta de carne, frutos y vegetales .; Omnívoro ;Biología
El símbolo del potasio es K .; K ;Química
El acelerador de partículas más grande del mundo está en la frontera entre Francia y Suiza, cerca de Ginebra .; Ginebra ;Ciencia
El mojito proviene de Cuba .; Cuba ;Cultura
El movimiento del caballo en el ajedrez tiene la forma de una L .; caballo ;Cultura
Pangea era el continente originario sin separación de masas de tierra .; Pangea ;Geografía
El gran océano que rodeaba a Pangea se llamaba Pantalasa .; Pantalasa ;Geografía
La insulina se produce en el páncreas .; insulina ;biologia
El K2 se encuentra en Pakistán .; Pakistán ;Geografía
La acrofobia es el miedo a las alturas .; alturas ;Ciencia
La acrofobia es el miedo a las alturas .; acrofobia ;Ciencia
La OPEP fue fundada en 1960 .; 1960 ;Historia
El elefante es un mamífero que no puede saltar .; saltar ;Biología
El elefante es un mamífero que no puede saltar .; elefante ;Biología
El primer metal utilizado por el hombre fue el cobre .; cobre ;Historia
La suma de los ángulos de un triángulo es 180 .; triángulo ;Matemáticas
La escala Richter mide la magnitud de un terremoto .; terremoto ;Ciencia
La escala Richter mide la magnitud de un terremoto .; Richter ;Ciencia
El barómetro se utiliza para medir la presión atmosférica .; barómetro ;Física
El barómetro se utiliza para medir la presión atmosférica .; atmosférica ;Física
el mamífero carnívoro más pequeño del mundo es comadreja  .; comadreja ;Biología
La Segunda Guerra Mundial acabó en 1945 .; 1945 ;Historia
El apellido de la reina Isabel II de Inglaterra es Windsor .; Windsor ;Historia
La actual Constitución española se aprobó en 1978 .; 1978 ;Política
La fiesta de la Hispanidad se celebra el 12 de octubre .; octubre ;Cultura
Adolfo Suárez fue el primer presidente democrático de España tras la dictadura franquista .; presidente ;Política
La Primera Guerra Mundial comenzó en 1914 .; 1914 ;Historia
La Revolución Francesa tuvo lugar en 1789 .; 1789 ;Historia
Cristóbal Colón llegó a América en 1492 .; 1492 ;Historia
Felix Baumgartner realizó su salto en 2012 .; 2012 ;Historia
El muro de Berlín cayó en 1989 .; 1989 ;Historia
El nombre de pila de Che Guevara era Ernesto .; Guevara ;Política
Catalina de Aragón fue hija de los Reyes Católicos y reina británica .; Catalina ;Historia
La primera civilización humana conocida fue la sumeria .;sumeria;Historia
La Revolución Rusa comenzó en 1917 .; 1917 ;Política
Lenin fue el creador del Partido Comunista .; Comunista ;Historia
Lenin fue el creador del Partido Comunista .; Lenin ;Historia
Fidel Castro estuvo 49 años en el poder en Cuba .; Cuba ;Historia
La OTAN fue fundada en 1949 .; 1949 ;Politica
Abraham Lincoln fue asesinado en 1865 .; 1865 ;Historia
El Titanic se hundió en 1912 .; 1912 ;Historia
El golpe de estado de Tejero ocurrió en 1981 .; 1981 ;Historia
Alejandro Magno fue conocido como el rey de Macedonia .; Macedonia ;Historia
El intento de golpe de Estado en España ocurrió en 1981 .; 1981 ;Historia
Isabel II fue coronada en 1953 .; 1953 ;Historia
El rey Juan Carlos I abdicó en 2014 .; 2014 ;Historia
La humanidad surgió en África .; África ;Historia
El Imperio Romano cayó en el año 476 .; 476 ;Historia
Los dinosaurios desaparecieron al final del Cretácico .; Cretácico ;Historia
Francisco Pizarro descubrió Perú .; Perú ;Historia
César Augusto fue el primer emperador romano .; romano ;Historia
La última dinastía en China fue la dinastía Qing .; Qing ;Historia
La civilización azteca se originó en México .; México ;Historia
Juana de Arco nació en Francia .; Francia ;Historia
Stalin fue oficialmente el líder de la Unión Soviética después de Lenin .; Stalin ;Historia
La emperatriz Teodora fue la mujer más poderosa de la historia bizantina .; bizantina ;Historia
Los cuatro grandes inventos de China fueron el papel, la brújula, la pólvora y la imprenta .; papel ;Historia
Karl Marx fundó el socialismo científico .; socialismo ;Política
En la conquista musulmana, el Califato de Damasco tomó Toledo en el 711 .; 711 ;Historia
En la conquista musulmana, el Califato de Damasco tomó Toledo en el 711 .; Damasco ;Historia
En la conquista musulmana, el Califato de Damasco tomó Toledo en el 711 .; Toledo ;Historia
Alfonso IX de León convocó una Curia Regia extraordinaria que condujo al nacimiento de las Cortes .; Cortes ;Historia
Boabdil fue el emir musulmán que entregó las llaves de Granada a los Reyes Católicos .; Boabdil ;Historia
Isabel II creó la Guardia Civil .; Isabel ;Historia
Franco encabezó el alzamiento militar que inició la guerra civil el 17 de julio .; julio ;Historia
Las primeras elecciones bajo la nueva constitución se celebraron en 1979 .; 1979 ;Historia
Hasta Pedro Sánchez, la democracia española ha tenido siete presidentes .; siete ;Historia
El escándalo que obligó a Richard Nixon a dimitir se conoce como Watergate .; Watergate ;Política
Constantino legalizó el cristianismo en el Imperio Romano .; Constantino ;Historia
El hito informático de 1969 que cambió radicalmente la historia fue Internet .; 1969 ;Cultura
George Washington fue el primer presidente de Estados Unidos .; Washington ;Historia
La famosa batalla donde Napoleón Bonaparte fue derrotado fue en Waterloo .; Waterloo ;Historia
Mao Zedong dirigió a los comunistas durante la guerra civil China .; comunistas ;Historia
La Sagrada Familia se encuentra en Barcelona .; Barcelona ;Geografía
El océano más grande del mundo es el Pacífico .; Pacífico ;Geografía
Rusia es el país más grande del mundo con 17 .075 .200 km² de superficie .; Rusia ;Geografía
El país más poblado de la Tierra es China, con más de 1 .383 .488 .571 de habitantes .; China ;Geografía
La ciudad conocida por sus rascacielos es Nueva York .; rascacielos ;Geografía
El parque temático de Port Aventura está en la provincia de Tarragona .; Tarragona ;Geografía
La Casa Blanca se encuentra en Washington .; Washington ;Geografía
El continente más extenso del planeta es Asia .; Asia ;Geografía
Italia es el país que produce más vino en el mundo .; Italia ;Cultura
Una milla equivale a 1 .6 km .; milla ;General
La pizza fue inventada en Nápoles .; Nápoles ;Cultura
Hay aproximadamente mas de 8 .000 millones de personas en el mundo .; millones ;Geografía
La línea más larga del metro de Madrid es la línea 12 .; 12 ;General
El lugar más frío de la Tierra es la Antártida .; Antártida ;Geografía
El río más largo de Europa es el Volga .; Volga ;Geografía
El museo del Louvre está en París .; París ;Arte
El Atomium se encuentra en Bruselas .; Bruselas ;Geografía
El río más famoso de Egipto es el Nilo .; Nilo ;Geografía
La montaña más alta del planeta es el Everest .; Everest ;Geografía
El río más largo del planeta es el Amazonas .; Amazonas ;Geografía
El desierto de Atacama se encuentra en Chile .; Chile ;Geografía
La ciudad más poblada de Andalucía es Sevilla .; Sevilla ;Geografía
Asia es el continente más extenso del planeta .; continente ;geografía
Nigeria es el país más poblado de África .; África ;Geografía
El café es originario de Etiopía .; Etiopía ;Cultura
Eslovenia se independizó de Yugoslavia el 25 de junio de 1991 .; 1991 ;Historia
Eslovenia se independizó de Yugoslavia el 25 de junio de 1991 .; Yugoslavia ;Historia
La isla de Creta pertenece a Grecia .; Grecia ;Geografía
El país más visitado del mundo es Francia .; Francia ;Cultura
Los montes Urales separan Europa de Asia .; Urales ;Geografía
